epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,134.323,3.49323,4.51907,2.99168,0,0,0,0,3.52633,4.62003,2.93087,0.00025755,0.00025755,0.00025755
27,140.273,2.98485,4.3301,2.3436,0,0,0,0,3.52633,4.62003,2.93087,0.000257156,0.000257156,0.000257156
28,144.227,2.88912,4.40726,2.35179,0,0,0,0,3.52633,4.62003,2.93087,0.00025597,0.00025597,0.00025597
29,147.31,2.86773,4.46528,2.59175,0,0,0,0,3.52633,4.62003,2.93087,0.000253992,0.000253992,0.000253992
30,150.722,2.98293,4.33429,2.65499,0,0,0,0,3.52927,4.42568,2.94266,0.000251222,0.000251222,0.000251222
31,153.796,2.99807,4.53897,2.44552,0,0,0,0,3.52927,4.42568,2.94266,0.00024766,0.00024766,0.00024766
32,156.44,2.59841,3.98457,2.11345,0,0,0,0,3.52927,4.42568,2.94266,0.000243306,0.000243306,0.000243306
33,159.97,3.39387,4.63517,2.78428,0,0,0,0,3.52927,4.42568,2.94266,0.00023816,0.00023816,0.00023816
34,163.04,2.76309,4.15313,2.09043,0,0,0,0,3.52927,4.42568,2.94266,0.000232222,0.000232222,0.000232222
35,166.374,2.9324,4.17526,2.4044,0,0,0,0,3.52927,4.42568,2.94266,0.000225492,0.000225492,0.000225492
36,170.387,2.62575,4.3018,2.55679,0,0,0,0,3.08731,4.7711,2.65406,0.00021797,0.00021797,0.00021797
37,175.286,2.62117,3.88227,2.36276,0,0,0,0,3.08731,4.7711,2.65406,0.000209656,0.000209656,0.000209656
38,179.629,2.61796,4.25338,2.16439,0,0,0,0,3.08731,4.7711,2.65406,0.00020055,0.00020055,0.00020055
39,183.559,2.78271,4.13178,2.35727,0,0,0,0,3.08731,4.7711,2.65406,0.000190652,0.000190652,0.000190652
40,187.487,2.58139,4.07413,2.25126,0,0,0,0,3.08731,4.7711,2.65406,0.000179962,0.000179962,0.000179962
41,193.942,2.48554,3.90873,2.13676,0,0,0,0,3.08731,4.7711,2.65406,0.00016848,0.00016848,0.00016848
42,204.852,2.93842,4.50356,2.6288,0,0,0,0,3.08731,4.7711,2.65406,0.000156206,0.000156206,0.000156206
43,208.217,2.55043,4.25129,2.46022,0,0,0,0,2.8462,4.73369,2.59136,0.00014314,0.00014314,0.00014314
44,213.199,2.63134,4.23462,2.35338,0,0,0,0,2.8462,4.73369,2.59136,0.000129282,0.000129282,0.000129282
45,220.742,2.2848,4.00974,1.95645,0,0,0,0,2.8462,4.73369,2.59136,0.000114632,0.000114632,0.000114632
46,240.912,2.4709,4.47905,2.52811,0,0,0,0,2.8462,4.73369,2.59136,9.919e-05,9.919e-05,9.919e-05
47,259.129,2.17193,4.13011,2.21891,0,0,0,0,2.8462,4.73369,2.59136,8.2956e-05,8.2956e-05,8.2956e-05
48,301.311,2.8536,4.58957,2.55549,0,0,0,0,2.8462,4.73369,2.59136,6.593e-05,6.593e-05,6.593e-05
49,328.234,2.30749,4.18624,2.04945,0,0,0,0,2.8462,4.73369,2.59136,4.8112e-05,4.8112e-05,4.8112e-05
50,341.956,2.79843,4.41334,2.55744,0,0,0,0,2.8462,4.73369,2.59136,2.9502e-05,2.9502e-05,2.9502e-05
