epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8009,3.0347,5.15422,3.11317,0.00662,0.5,0.02689,0.00269,3.57166,5.10428,3.55847,0,0,0
2,22.4418,3.13151,5.22075,3.05612,0.00676,0.5,0.05853,0.00746,3.51557,5.40376,3.51843,8.02e-06,8.02e-06,8.02e-06
3,28.721,3.44135,4.93739,3.42645,0.00694,0.5,0.07107,0.00877,3.4786,5.55574,3.56115,1.208e-05,1.208e-05,1.208e-05
4,35.8027,2.95371,4.8196,2.72632,0.00699,0.5,0.07654,0.00937,3.49105,5.52872,3.60475,1.218e-05,1.218e-05,1.218e-05
5,42.2637,3.69005,4.77293,3.31145,0.00709,0.5,0.09045,0.01076,3.51948,5.45327,3.66187,8.32e-06,8.32e-06,8.32e-06
